recipe_title;category;subcategory;description;ingredients;directions;num_ingredients;num_steps
Sheet Pan Egg in a Hole with Bacon and Brussels Sprout Slaw;Breakfast And Brunch;Breakfast And Brunch;Shaved Brussels sprout slaw and a maple vinaigrette elevate the classic egg in a hole breakfast dish.;"[""6 tablespoons butter, softened"", ""6 slices sourdough bread"", ""6 slices thick-cut bacon"", ""1/3 cup mayonnaise"", ""1 tablespoon ijon mustard"", ""1 tablespoon maple syrup"", ""1 tablespoon cider vinegar"", ""1/8 teaspoon salt"", ""1/8 teaspoon black pepper, plus more for garnish"", ""1 (9-10-ounce) package russels sprouts"", ""1 shallot, thinly sliced"", ""6 large eggs"", ""grated Parmesan cheese, for garnish""]";"[""Preheat the oven to 400 degrees F (200 degrees C). Line a 13x18-inch rimmed sheet pan with parchment paper or foil."", ""Spread butter on both sides of bread slices; arrange in an even layer on the prepared sheet pan. Bake for 7 minutes; turn slices and bake until lightly toasted, about 3 minutes more."", ""Using a 2 1/2-inch biscuit cutter or straight-sided glass, remove a hole from the center of each toast slice. Set toast slices and rounds aside."", ""Arrange bacon in an even layer on the same sheet pan. Bake, turning halfway through, until crisp, 15 to 20 minutes."", ""Meanwhile, for slaw, whisk together mayonnaise, mustard, maple syrup, vinegar, table salt, and pepper in a bowl. Add Brussels sprouts and shallot; toss to coat."", ""Transfer bacon to a paper towel-lined plate; let cool. Pour off excess drippings from the pan, leaving parchment or foil in place. Return toast slices to pan, reserving rounds. Crack an egg into each hole."", ""Bake until whites are set and yolks are desired doneness, 7 to 9 minutes."", ""Crumble bacon; sprinkle evenly over eggs. Top with slaw. Garnish with flaky salt, Parmesan cheese, and/or additional pepper. If you like, top with reserved toast rounds.""]";13;8
Gochujang Scrambled Eggs;Breakfast And Brunch;Breakfast And Brunch;These gochujang scrambled eggs are both sweet and savory, and the Korean chile paste adds just the right amount of spice. I like to take it up a notch by adding deli ham.;"[""2 large eggs"", ""1 tablespoon heavy whipping cream"", ""1 tablespoon gochujang"", ""1/2 tablespoon butter"", ""2 slices deli ham"", ""salt and freshly ground black pepper to taste"", ""sliced green onions (optional)""]";"[""Whisk eggs, heavy cream, and gochujang in a bowl. Set aside."", ""Melt butter in a skillet. Add egg mixture and ham,, and cook and stir until eggs are scrambled and cooked. Season with salt and pepper. Sprinkle with green onions.""]";7;2
Meet Zucchini Bread Pancakes: The Breakfast I'm Making All Summer Long;Breakfast And Brunch;Breakfast And Brunch;These zucchini bread pancakes are a delicious nod to zucchini bread, rich and fluffy with warm spices and speckled with zucchini throughout. The best part is that you can have the satisfaction of zucchini bread without heating up the oven.;"[""1 cup all-purpose flour"", ""1 teaspoon baking powder"", ""3/4 teaspoon baking soda"", ""1/4 teaspoon salt"", ""1 teaspoon ground cinnamon"", ""1/4 teaspoon ground cloves"", ""1 pinch ground nutmeg"", ""3/4 cup buttermilk"", ""3 tablespoons white sugar"", ""1 large egg"", ""2 tablespoons butter,"", ""1 cup zucchini"", ""1/3 cup chopped walnuts""]";"[""Gather the ingredients."", ""Whisk flour, baking powder, baking soda, salt, cinnamon, cloves, and nutmeg together in a large bowl."", ""Combine buttermilk, sugar, egg, and butter in a measuring cup; whisk well. Stir in shredded zucchini, and walnuts, then add to the dry ingredients. Fold together just until no dry spots remain."", ""Heat a large nonstick skillet or griddle over medium heat; grease with butter."", ""Working in batches, scoop 1/4 cup batter per pancake into the skillet. Cook until bubbles begin to form on surface of pancakes and edges start to look dry, 2 to 3 minutes."", ""Flip, and cook until fluffy and slightly firm, about 2 minutes. Repeat with remaining batter, adding butter and adjusting heat as needed.""]";13;6
Strawberry Butter Swim Biscuits;Breakfast And Brunch;Breakfast And Brunch;These strawberry butter swim biscuits are perfectly balanced—tender and buttery, but also airy and moist with a subtle tang from buttermilk. Studded with fresh strawberries and lightly sweet, they are just as tasty for dessert as for breakfast.;"[""2 1/2 cups all-purpose flour"", ""1 tablespoon baking powder"", ""1 tablespoon white sugar"", ""3/4 teaspoon kosher salt"", ""1/2 teaspoon baking soda"", ""2 cups whole buttermilk"", ""8 tablespoons unsalted butter"", ""3/4 cup fresh strawberries"", ""1/2 cup confectioners sugar"", ""1 tablespoon buttermilk""]";"[""Gather all ingredients. Preheat the oven to 450 degrees F (235 degrees C)."", ""Whisk together flour, baking powder, sugar, salt, and baking soda in a large bowl; pour in 2 cups of the buttermilk and 3 tablespoons melted butter. Stir until almost fully combined but some dry streaks remain, about 30 seconds."", ""Gently fold in strawberries until evenly combined."", ""Pour remaining 5 tablespoons melted butter into an 8-inch square baking dish; swirl the dish to evenly coat bottom and sides. Transfer dough to the prepared baking dish and gently spread into an even layer; cut biscuits into 9 even squares."", ""Bake in the preheated oven until biscuits are golden brown, 30 to 35 minutes. Checking after 20 minutes and tent with foil if biscuits are browning too quickly."", ""Remove from the oven and let rest in the pan on a wire rack for 5 minutes. Meanwhile, whisk confectioner's sugar and 1 tablespoon buttermilk together in a small bowl until combined. Drizzle evenly over warm biscuits, slice, and serve while warm.""]";10;6
Scrambled Hot Dogs and Eggs;Breakfast And Brunch;Breakfast And Brunch;These scrambled hot dogs and eggs are a fun breakfast or even lunch. You'll need just 2 ingredients and about 5 minutes to make them.;"[""1/2 tablespoon butter"", ""1 hot dog"", ""1 large egg"", ""1/4 teaspoon kosher salt"", ""1/8 teaspoon pepper""]";"[""Melt butter in a small nonstick skillet over medium heat. Add hot dogs and cook until browned on all sides, about 2 minutes. Turn heat to down to medium-low."", ""Whisk eggs with salt and pepper until well blended and pour over hot dogs. Cook, stirring constantly until eggs are set. Serve immediately.""]";5;2
3-Ingredient Chicken and Waffle Bites;Breakfast And Brunch;Breakfast And Brunch;You only need 3 ingredients to get the full chicken and waffle experience with these shortcut chicken and waffle bites. Lightly breaded chicken tenders are dipped in pancake batter, and popped into a waffle iron until they are crisp and golden. Serve with syrup for dipping.;"[""1 10.6 ounce) jug shake and pour pancake mix, such as Bisquick Shake N Pour\u00ae"", ""1 1/2 pounds chicken tenders,"", ""cooking spray"", ""3/4 cup maple syrup, or as needed for dipping""]";"[""Prepare chicken tenders according to package directions."", ""Prepare pancake mix according to instructions. Pour mixture into a bowl."", ""Meanwhile, heat up a waffle iron. Spray waffle iron with nonstick spray. Take 1 to 4 chicken tenders at a time, depending on the size of your waffle iron, and dip tenders halfway into pancake batter; place onto the waffle iron. Cook until golden brown."", ""Remove from the waffle iron to a plate; continue cooking remaining chicken."", ""Serve immediately with syrup for dipping.""]";4;5
5-Ingredient Breakfast Hand Pies;Breakfast And Brunch;Breakfast And Brunch;These 5-ingredient breakfast hand pies are a nice change of pace. A sheet of frozen puff pastry, filled with typical breakfast fixings, bakes quickly into neat pastry pies that can easily be modified to include what you have on hand.;"[""1 sheet puff pastry"", ""4 slices bacon, cooked, drained and crumbled"", ""3 large eggs"", ""1/2 cup shredded Cheddar cheese"", ""1 tablespoon butter"", ""1/2 teaspoon dried basil, or to taste (optional)"", ""salt and freshly ground black pepper""]";"[""Gather all ingredients. Preheat the oven to 350 degrees F (180 degrees C). Line a baking sheet with parchment."", ""Roll puff pastry out onto a lightly floured work surface. Using a rolling pin or your fingers, roll or pat pastry into a square. Cut pastry vertically into 3 rectangles. Transfer to the prepared parchment."", ""Crack eggs into a bowl and whisk with basil, salt, and pepper. Add half the cheese and stir to combine."", ""Add egg mixture to a nonstick skillet over medium heat. Stir eggs until just combined and cooked through. Remove from heat."", ""Add a scoop of eggs on one side of each puff pastry rectangle. Top eggs with a sprinkle of cheese, then some bacon."", ""Carefully lift the other side of pastry rectangle and fold it over the side with filling. Use the back of a fork, press down all around the edges to seal completely. Brush each pie with melted butter. Sprinkle with remaining cheese."", ""Bake in the preheated oven until puffed and golden, about 15 minutes.""]";7;7
Italian Breakfast Strata;Breakfast And Brunch;Breakfast And Brunch;Chef John's Italian breakfast strata is one of the best breakfast casseroles ever, layered with Italian bread cubes, Italian sausage, plenty of spinach, and melty fontina cheese in just the right amount of egg custard. It has a fantastic fluffy texture, rich and satisfying, and yet somehow not heavy.;"[""1 large loaf Italian or French bread"", ""1 tablespoon olive oil"", ""12 ounces italian sausage"", ""1 yellow onion"", ""1/2 teaspoon ground black pepper"", ""1/4 teaspoon dried oregano"", ""1/4 teaspoon dried thyme"", ""1/8 teaspoon dried rosemary"", ""1 pinch cayenne pepper"", ""1 pound baby spinach"", ""12 large eggs"", ""2 teaspoons kosher salt"", ""4 cups milk"", ""8 ounces fontina or fontal cheese, shredded""]";"[""Cut bread into 1-inch cubes, and spread out in a single layer on the work surface; leave uncovered overnight to become stale."", ""Add olive oil to a skillet set over medium-high heat, and add sausage. Cook, while crumbling with a spatula, for a few minutes, just until the sausage starts to brown. Add onions, a large pinch of salt, black pepper, cayenne, oregano, thyme, and rosemary. Cook, stirring until the onions soften and start to turn translucent."", ""Transfer the mixture into a bowl, then spoon about 1 tablespoon of rendered sausage fat back into the pan; place pan back over medium-high heat."", ""Add spinach and cook, tossing with tongs until it's just barely wilted and bright green. Transfer into a strainer to cool. Squeeze out any excess water, and chop before using. Or, use scissors to snip into small pieces."", ""Whisk eggs with salt until yolks have been incorporated into the whites. Whisk in milk and set aside."", ""Grease a 9x13-inch casserole dish with olive oil. Cover the bottom with a single tight layer of stale bread cubes. Top evenly with about 60% of sausage mixture, layer on 60% of spinach, and then scatter over half the cheese."", ""Top this with another layer of bread cubes, pressing down lightly with your hands to flatten. Top bread with remaining sausage and spinach. Ladle egg and milk mixture evenly over casserole. Top with the remaining cheese."", ""Wrap tightly and place in the refrigerator overnight."", ""Preheat the oven to 350 degrees F (180 degrees C)."", ""Bake strata in the preheated oven until top is lightly browned, and an instant read thermometer inserted into the center reaches 150 degrees F (66 degrees C), about 1 hour 15 minutes."", ""Let strata rest for 10 to 15 minutes before serving.""]";14;11
Super Meat Lovers Cheddar Biscuit Breakfast Sandwich;Breakfast And Brunch;Breakfast And Brunch;This isn't your average bacon, egg, and cheese sandwich. The combination of Cheddar biscuits, bacon, and sausage takes it to the next level—perfect for hearty appetites!;"[""2 cups all-purpose flour"", ""2 teaspoons baking powder"", ""2 teaspoons garlic powder"", ""1/2 cup fresh parsley"", ""1 cup milk"", ""1/2 cup shortening"", ""1 cup shredded Cheddar cheese"", ""1 teaspoon salt"", ""4 slices bacon"", ""4 4 sausage patties"", ""1 tablespoon olive oil"", ""4 large eggs"", ""4 slices Cheddar cheese""]";"[""Preheat the oven to 425 degrees F (220 degrees C) and line a rimmed baking sheet with parchment paper."", ""Add flour, grated Cheddar, parsley, baking powder, garlic powder and salt to a bowl and mix to combine. Add milk and shortening. Use a fork or pastry cutter to cut shortening into dry ingredients until combined."", ""Turn dough onto a cutting board and form into an 8-inch square. Cut into 4 pieces, then transfer to prepared baking sheet."", ""Bake in the preheated oven until biscuits are golden brown, 15 to 20 minutes."", ""Meanwhile, fry bacon in a nonstick skillet over medium-high heat until crisp, turning occasionally, about 5 minutes. Drain bacon on a plate lined with paper towels; drain any excess grease from the skillet. Add sausage patties; fry, turning occasionally, until no longer pink at the center, about 5 minutes. Remove to a plate."", ""Add olive oil to the skillet and fry or scramble eggs to your taste."", ""Slice biscuits open horizontally, and assemble the sandwich, from top to bottom: bottom half of biscuit, egg, Cheddar cheese slice, bacon, and sausage, then finish it with the other biscuit half on top.""]";13;7
Strawberry Banana Blended Baked Oats;Breakfast And Brunch;Breakfast And Brunch;These strawberry banana blended baked oats are easy to make, kid friendly, and packed with healthy ingredients. Everything comes together in a blender and bakes up into a perfectly portioned, delicious treat that tastes just like having cake for breakfast!;"[""1 cup old-fashioned rolled oats"", ""1 banana"", ""2 large eggs"", ""1/2 cup unsweetened almond milk"", ""2 tablespoons honey"", ""1 teaspoon baking powder"", ""1/2 teaspoon vanilla extract"", ""1/4 teaspoon cinnamon"", ""1/8 teaspoon salt"", ""1/3 cup fresh strawberries"", ""1/4 cup chocolate chips (optional)""]";"[""Preheat the oven to 350 degrees F (180 degrees C)."", ""Combine oats, banana, eggs, almond milk, honey, baking powder, vanilla, cinnamon, and salt in a high speed blender and blend until smooth. Remove the blade and fold in chopped strawberries."", ""Divide batter evenly between 4 ramekins and sprinkle chocolate chips on top."", ""Bake in the preheated oven until baked oats are puffed and light golden brown, about 25 minutes."", ""Let cool for at least 5 minutes and serve warm or at room temperature.""]";11;5
Breakfast Enchilada Casserole;Breakfast And Brunch;Breakfast And Brunch;This breakfast enchilada casserole is a perfect dish to serve guests. Scrambled eggs with ham and cheese filled in corn tortillas, then dressed with enchilada sauce, and baked topped with queso until bubbly.;"[""6 large eggs"", ""salt and freshly ground black pepper to taste"", ""2 cups shredded queso quesadilla cheese,"", ""4 ounces ham"", ""10 corn tortillas"", ""1 (10-ounce) can green enchilada sauce"", ""chopped cilantro""]";"[""Preheat the oven to 350 degrees F (180 degrees C)."", ""Whisk eggs, salt, pepper, 1/4 cup cheese, and ham in a mixing bowl. Heat a large skillet over medium-high heat. Pour egg mixture in and cook for 3 minutes. Stir and cook for 2 minutes more."", ""Divide egg mixture equally into tortillas, about 2 tablespoons each. Roll tortillas up and place seam side down in a glass casserole dish. Pour enchilada sauce over the top."", ""Bake in the preheated oven for 20 minutes. Top with remaining 1 3/4 cups cheese and cook until cheese is melted and golden, about 10 minutes more."", ""Let stand for 5 minutes before serving. Garnish with cilantro.""]";7;5
